股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1236,宏亞,20250602,5452,122277,22.50,22.50,22.40,22.40,-0.30,11
1236,宏亞,20250603,7264,161704,22.20,22.25,22.20,22.25,-0.15,41
1236,宏亞,20250604,2336,52107,22.30,22.30,22.30,22.30,+0.05,18
1236,宏亞,20250605,3377,75009,22.65,22.65,22.00,22.00,-0.30,11
1236,宏亞,20250606,5856,129343,21.95,22.25,21.95,22.05,+0.05,18
1236,宏亞,20250609,2376,52530,22.20,22.20,22.20,22.20,+0.15,24
1236,宏亞,20250610,7935,175925,22.20,22.20,22.00,22.20, 0.00,30
1236,宏亞,20250611,4219,92895,22.05,22.05,21.95,21.95,-0.25,34
1236,宏亞,20250612,4493,99010,22.15,22.15,22.00,22.00,+0.05,22
1236,宏亞,20250613,5906,129539,22.10,22.25,21.50,22.05,+0.05,44
1236,宏亞,20250616,1646,36283,22.10,22.10,22.10,22.10,+0.05,17
1236,宏亞,20250617,2734,60795,22.30,22.30,22.25,22.25,+0.15,25
1236,宏亞,20250618,5459,120420,22.25,22.25,21.75,22.25, 0.00,16
1236,宏亞,20250619,2969,64788,21.75,21.75,21.75,21.75,-0.50,26
1236,宏亞,20250620,4975,108392,21.75,21.90,21.75,21.90,+0.15,32
