股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1323,永裕,20250602,64122,1326291,20.60,20.75,20.55,20.75,-0.05,28
1323,永裕,20250603,44339,918676,20.75,20.75,20.55,20.75, 0.00,39
1323,永裕,20250604,173017,3620311,20.75,21.20,20.60,21.20,+0.45,83
1323,永裕,20250605,131850,2642094,20.60,20.60,19.55,20.00,X0.00,114
1323,永裕,20250606,25267,505821,20.00,20.10,19.85,20.10,+0.10,50
1323,永裕,20250609,64816,1271935,20.05,20.05,19.30,19.70,-0.40,101
1323,永裕,20250610,27714,544547,19.60,19.70,19.60,19.65,-0.05,33
1323,永裕,20250611,9300,182833,19.65,19.70,19.60,19.70,+0.05,14
1323,永裕,20250612,7763,152038,19.55,19.65,19.55,19.65,-0.05,14
1323,永裕,20250613,26078,514447,19.60,20.00,19.60,19.90,+0.25,16
1323,永裕,20250616,36647,721633,19.80,19.80,19.60,19.80,-0.10,26
1323,永裕,20250617,36414,712708,19.60,19.70,19.45,19.70,-0.10,41
1323,永裕,20250618,55206,1087462,19.55,20.00,19.45,20.00,+0.30,33
1323,永裕,20250619,23889,469428,19.70,19.70,19.55,19.70,-0.30,26
1323,永裕,20250620,20016,390362,19.55,19.60,19.45,19.50,-0.20,18
