股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1325,恆大,20250602,84968961,3537877431,41.00,43.50,40.30,41.25,+1.55,"40,075"
1325,恆大,20250603,27257028,1110638730,41.00,41.55,39.70,41.50,+0.25,"14,371"
1325,恆大,20250604,11694531,473132264,40.70,41.15,39.80,39.80,-1.70,"6,444"
1325,恆大,20250605,7691877,295288406,39.40,39.50,37.65,37.75,-2.05,"4,706"
1325,恆大,20250606,6656779,248275987,37.75,38.30,36.65,36.70,-1.05,"3,888"
1325,恆大,20250609,5656662,200386635,37.10,37.10,34.75,34.90,-1.80,"3,516"
1325,恆大,20250610,2727545,95425867,34.80,35.45,34.45,35.15,+0.25,"1,720"
1325,恆大,20250611,3621970,122899149,34.45,34.95,33.40,33.40,-1.75,"2,347"
1325,恆大,20250612,3138913,105336475,33.65,34.35,33.10,33.20,-0.20,"1,867"
1325,恆大,20250613,2189005,70834761,33.30,33.30,31.95,31.95,-1.25,"1,426"
1325,恆大,20250616,1342301,43064667,32.00,32.45,31.70,32.15,+0.20,812
1325,恆大,20250617,962308,30567288,32.20,32.35,31.35,31.70,-0.45,690
1325,恆大,20250618,2713411,88002490,32.00,33.05,31.90,32.10,+0.40,"1,797"
1325,恆大,20250619,1091579,34639731,32.25,32.25,31.40,31.40,-0.70,802
1325,恆大,20250620,711930,21995239,31.40,31.55,30.50,30.50,-0.90,539
