股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1338,廣華-KY,20250602,98501,2351661,23.60,24.40,23.10,23.90, 0.00,98
1338,廣華-KY,20250603,756958,19207517,24.15,26.25,24.05,24.40,+0.50,534
1338,廣華-KY,20250604,422410,10817472,24.50,25.90,24.45,25.75,+1.35,317
1338,廣華-KY,20250605,356439,9335932,25.85,26.65,25.60,25.90,+0.15,309
1338,廣華-KY,20250606,58035,1505267,25.95,26.15,25.75,25.90, 0.00,63
1338,廣華-KY,20250609,103562,2638361,25.90,25.90,25.25,25.35,-0.55,94
1338,廣華-KY,20250610,77637,1947950,25.20,25.40,24.85,24.95,-0.40,76
1338,廣華-KY,20250611,78028,1935451,25.00,25.35,24.50,24.90,-0.05,79
1338,廣華-KY,20250612,78169,1934543,24.90,24.90,24.65,24.90, 0.00,69
1338,廣華-KY,20250613,58015,1423119,24.80,24.80,24.40,24.50,-0.40,54
1338,廣華-KY,20250616,15088,371122,24.35,24.80,24.35,24.70,+0.20,30
1338,廣華-KY,20250617,73053,1822470,24.80,25.15,24.75,25.05,+0.35,84
1338,廣華-KY,20250618,9020,224099,24.85,24.85,24.80,24.85,-0.20,24
1338,廣華-KY,20250619,41056,1002789,24.80,24.80,24.25,24.25,-0.60,38
1338,廣華-KY,20250620,61024,1483281,24.10,24.60,24.00,24.30,+0.05,66
