股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1341,富林-KY,20250602,6052,408741,68.60,68.60,66.40,66.40,-2.10,15
1341,富林-KY,20250603,5065,333597,66.20,66.20,65.70,65.70,-0.70,14
1341,富林-KY,20250604,1006,67290,66.90,66.90,66.90,66.90,+1.20,7
1341,富林-KY,20250605,1023,68404,66.90,66.90,66.90,66.90, 0.00,9
1341,富林-KY,20250606,3021,199465,65.50,67.40,65.20,67.40,+0.50,24
1341,富林-KY,20250609,1057,71117,67.40,67.40,67.40,67.40, 0.00,27
1341,富林-KY,20250610,2071,139607,67.40,67.40,67.40,67.40, 0.00,6
1341,富林-KY,20250611,11000,736400,68.00,68.00,65.70,67.30,-0.10,11
1341,富林-KY,20250612,6000,396900,66.00,66.90,66.00,66.90,-0.40,2
1341,富林-KY,20250613,2004,134466,66.80,67.40,66.80,67.40,+0.50,6
1341,富林-KY,20250616,4092,273645,66.40,67.00,66.40,67.00,-0.40,11
1341,富林-KY,20250617,2019,135242,67.00,67.00,67.00,67.00, 0.00,3
1341,富林-KY,20250618,1001,67072,67.00,67.00,67.00,67.00, 0.00,2
1341,富林-KY,20250619,11851,767963,65.20,65.20,64.30,64.70,-2.30,22
1341,富林-KY,20250620,10002,642028,64.50,65.00,64.00,65.00,+0.30,12
