股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1409,新纖,20250602,2662984,33813000,12.90,12.95,12.60,12.60,-0.45,"1,491"
1409,新纖,20250603,1498185,18815789,12.65,12.70,12.50,12.50,-0.10,869
1409,新纖,20250604,1390134,17620538,12.70,12.80,12.60,12.65,+0.15,710
1409,新纖,20250605,1975432,24979844,12.65,12.75,12.55,12.55,-0.10,794
1409,新纖,20250606,1333039,16852800,12.65,12.75,12.60,12.60,+0.05,504
1409,新纖,20250609,2163853,27029774,12.70,12.70,12.40,12.50,-0.10,921
1409,新纖,20250610,1903935,24015573,12.50,12.75,12.50,12.55,+0.05,912
1409,新纖,20250611,2037892,25335480,12.50,12.50,12.35,12.45,-0.10,927
1409,新纖,20250612,1594410,19718494,12.50,12.50,12.30,12.30,-0.15,833
1409,新纖,20250613,3410068,41622984,12.25,12.35,12.10,12.10,-0.20,"1,553"
1409,新纖,20250616,976126,11820682,12.10,12.20,12.05,12.10, 0.00,599
1409,新纖,20250617,1201257,14602882,12.10,12.25,12.05,12.25,+0.15,660
1409,新纖,20250618,2515927,30901545,12.20,12.40,12.15,12.30,+0.05,945
1409,新纖,20250619,1926244,23404789,12.25,12.30,12.10,12.10,-0.20,875
1409,新纖,20250620,13844449,164932058,12.10,12.10,11.90,11.90,-0.20,"1,182"
