股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1413,宏洲,20250602,30000,357750,12.10,12.10,11.80,11.90,-0.10,10
1413,宏洲,20250603,52481,623450,11.90,12.00,11.85,11.85,-0.05,35
1413,宏洲,20250604,61075,730733,11.90,12.30,11.85,12.00,+0.15,37
1413,宏洲,20250605,23038,275297,11.85,12.00,11.85,12.00, 0.00,10
1413,宏洲,20250606,1600,18579,12.10,12.10,12.10,12.10,+0.10,5
1413,宏洲,20250609,34023,412223,12.25,12.25,11.90,11.95,-0.15,17
1413,宏洲,20250610,44227,526192,11.85,11.95,11.85,11.95, 0.00,30
1413,宏洲,20250611,45208,541508,11.95,12.35,11.85,11.95, 0.00,44
1413,宏洲,20250612,23000,274300,11.95,11.95,11.90,11.90,-0.05,7
1413,宏洲,20250613,45484,545585,11.90,12.20,11.90,12.00,+0.10,34
1413,宏洲,20250616,88000,1046000,12.00,12.00,11.80,12.00, 0.00,31
1413,宏洲,20250617,370506,4381059,12.15,12.15,11.80,12.00, 0.00,62
1413,宏洲,20250618,71289,857354,11.80,12.15,11.80,12.05,+0.05,88
1413,宏洲,20250619,25480,300912,11.80,11.90,11.80,11.90,-0.15,25
1413,宏洲,20250620,30252,359443,11.95,11.95,11.85,11.85,-0.05,22
