股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1414,東和,20250602,348046,6592587,19.30,19.55,18.80,18.85,-0.45,282
1414,東和,20250603,564022,10679410,18.95,19.20,18.80,19.10,+0.25,359
1414,東和,20250604,544173,10328563,19.20,19.40,18.80,19.10, 0.00,369
1414,東和,20250605,293145,5603905,19.10,19.35,19.00,19.25,+0.15,190
1414,東和,20250606,374795,7165508,19.25,19.40,19.00,19.35,+0.10,271
1414,東和,20250609,319886,6041681,19.40,19.50,18.65,18.65,-0.70,267
1414,東和,20250610,181455,3417760,18.50,19.00,18.50,18.95,+0.30,190
1414,東和,20250611,157028,2949454,18.95,18.95,18.60,18.95, 0.00,156
1414,東和,20250612,588478,11071447,18.90,19.35,18.60,19.35,+0.40,364
1414,東和,20250613,417124,7867952,19.05,19.05,18.80,18.90,-0.45,244
1414,東和,20250616,194085,3671893,18.90,19.05,18.75,19.05,+0.15,147
1414,東和,20250617,550180,10417785,19.15,19.30,18.80,19.25,+0.20,303
1414,東和,20250618,1219348,22926799,19.05,19.30,18.55,18.60,-0.65,715
1414,東和,20250619,244451,4550271,18.55,18.75,18.50,18.70,+0.10,184
1414,東和,20250620,163226,3022866,18.75,18.75,18.20,18.75,+0.05,145
