股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1416,廣豐,20250602,738089,9743134,12.70,13.00,12.65,12.65, 0.00,327
1416,廣豐,20250603,767040,9583273,12.65,12.65,12.40,12.45,-0.20,315
1416,廣豐,20250604,93813,1174731,12.50,12.55,12.45,12.55,+0.10,84
1416,廣豐,20250605,403620,5055035,12.60,12.60,12.45,12.55, 0.00,129
1416,廣豐,20250606,203185,2555094,12.55,12.65,12.50,12.60,+0.05,154
1416,廣豐,20250609,600435,7649506,12.60,12.80,12.60,12.75,+0.15,306
1416,廣豐,20250610,409117,5004757,12.20,12.35,12.20,12.20,X0.00,210
1416,廣豐,20250611,235855,2866224,12.25,12.25,12.05,12.05,-0.15,168
1416,廣豐,20250612,170408,2045964,12.00,12.05,12.00,12.00,-0.05,146
1416,廣豐,20250613,181734,2175633,12.05,12.05,11.90,12.00, 0.00,130
1416,廣豐,20250616,64967,779699,12.00,12.05,11.95,12.00, 0.00,54
1416,廣豐,20250617,83948,1008538,12.05,12.10,11.95,12.05,+0.05,76
1416,廣豐,20250618,25101,301455,12.00,12.05,12.00,12.00,-0.05,36
1416,廣豐,20250619,226543,2696522,12.00,12.00,11.80,11.85,-0.15,125
1416,廣豐,20250620,135771,1600393,11.85,11.85,11.75,11.80,-0.05,108
