股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1418,東華,20250602,9069,203814,22.20,22.95,22.20,22.50,-0.70,32
1418,東華,20250603,27019,595669,22.05,22.20,21.55,22.20,-0.30,35
1418,東華,20250604,15015,333830,22.20,22.45,22.20,22.45,+0.25,21
1418,東華,20250605,1415,32051,22.70,22.70,22.70,22.70,+0.25,20
1418,東華,20250606,27307,608766,22.50,22.65,22.20,22.20,-0.50,33
1418,東華,20250609,4676,103954,22.25,22.40,22.25,22.25,+0.05,31
1418,東華,20250610,70313,1552131,22.40,22.80,21.85,22.20,-0.05,63
1418,東華,20250611,8108,176008,21.65,21.90,21.65,21.70,-0.50,26
1418,東華,20250612,35022,746012,21.60,21.65,21.10,21.10,-0.60,47
1418,東華,20250613,31095,668357,21.20,22.80,21.00,22.20,+1.10,40
1418,東華,20250616,21404,466630,22.20,22.20,21.40,22.00,-0.20,31
1418,東華,20250617,22467,489770,22.00,22.00,21.75,21.85,-0.15,29
1418,東華,20250618,16017,346261,21.70,21.70,21.50,21.50,-0.35,23
1418,東華,20250619,19101,407512,21.40,21.50,21.20,21.25,-0.25,25
1418,東華,20250620,11315,234237,21.10,21.10,20.80,20.80,-0.45,29
