股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1440,南紡,20250602,1657389,22095157,13.50,13.60,13.25,13.30,-0.35,855
1440,南紡,20250603,2501968,33173812,13.40,13.40,13.15,13.25,-0.05,525
1440,南紡,20250604,1201114,16085985,13.30,13.50,13.15,13.45,+0.20,538
1440,南紡,20250605,973127,13042611,13.35,13.50,13.30,13.40,-0.05,465
1440,南紡,20250606,459057,6161221,13.30,13.55,13.30,13.35,-0.05,304
1440,南紡,20250609,948251,12475156,13.50,13.50,13.05,13.10,-0.25,605
1440,南紡,20250610,941501,12551407,13.10,13.50,13.10,13.25,+0.15,478
1440,南紡,20250611,2850408,37888406,13.25,13.55,13.10,13.50,+0.25,911
1440,南紡,20250612,850886,11427096,13.50,13.55,13.35,13.50, 0.00,413
1440,南紡,20250613,2515531,33348779,13.45,13.50,13.10,13.10,-0.40,"1,035"
1440,南紡,20250616,1294099,16766349,13.05,13.10,12.80,13.10, 0.00,637
1440,南紡,20250617,651780,8505982,13.10,13.15,12.95,13.10, 0.00,350
1440,南紡,20250618,833334,10999434,13.10,13.30,13.05,13.25,+0.15,578
1440,南紡,20250619,1426941,18487241,13.25,13.25,12.80,12.85,-0.40,783
1440,南紡,20250620,2336955,29734286,12.85,13.10,12.55,12.80,-0.05,809
