股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1441,大東,20250602,14845,188910,13.15,13.15,12.40,12.45,-0.25,58
1441,大東,20250603,15985,201427,12.50,12.90,12.40,12.45, 0.00,30
1441,大東,20250604,13479,166744,12.45,12.55,12.20,12.55,+0.10,65
1441,大東,20250605,31470,391005,12.35,12.55,12.30,12.55, 0.00,58
1441,大東,20250606,3395,43259,12.55,12.90,12.55,12.90,+0.35,8
1441,大東,20250609,8828,111966,12.55,12.85,12.50,12.85,-0.05,66
1441,大東,20250610,16780,210780,12.80,12.80,12.45,12.75,-0.10,70
1441,大東,20250611,5246,65738,12.45,12.60,12.45,12.60,-0.15,21
1441,大東,20250612,2380,30024,12.75,12.75,12.75,12.75,+0.15,17
1441,大東,20250613,11926,147343,12.35,12.65,12.25,12.65,-0.10,61
1441,大東,20250616,63517,774415,12.30,12.50,12.00,12.30,-0.35,118
1441,大東,20250617,22217,268649,12.20,12.20,12.00,12.15,-0.15,63
1441,大東,20250618,13236,159500,12.00,12.15,12.00,12.15, 0.00,37
1441,大東,20250619,20645,246976,12.00,12.15,11.85,12.05,-0.10,59
1441,大東,20250620,25440,299722,11.90,11.95,11.55,11.95,-0.10,100
