股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1470,大統新創,20250602,147331,3262144,23.20,23.95,21.65,22.30,-1.70,130
1470,大統新創,20250603,15439,343879,22.20,22.55,22.20,22.30, 0.00,19
1470,大統新創,20250604,17110,379297,22.10,22.35,22.05,22.30, 0.00,20
1470,大統新創,20250605,18307,402057,22.05,22.10,21.80,22.10,-0.20,44
1470,大統新創,20250606,16095,355329,21.75,22.15,21.75,22.15,+0.05,19
1470,大統新創,20250609,2295,50390,21.95,21.95,21.90,21.90,-0.25,15
1470,大統新創,20250610,7152,160159,22.25,22.60,22.25,22.60,+0.70,10
1470,大統新創,20250611,5000,112500,22.50,22.50,22.50,22.50,-0.10,2
1470,大統新創,20250612,9105,200903,22.65,22.65,21.90,21.95,-0.55,13
1470,大統新創,20250613,9000,194450,21.80,21.80,21.45,21.55,-0.40,9
1470,大統新創,20250616,10057,216373,21.35,21.65,21.25,21.65,+0.10,13
1470,大統新創,20250617,5000,108500,21.70,21.70,21.70,21.70,+0.05,4
1470,大統新創,20250618,1106,23957,21.70,21.70,21.70,21.70, 0.00,3
1470,大統新創,20250619,5082,108562,21.40,21.40,21.35,21.35,-0.35,7
1470,大統新創,20250620,5033,106801,21.20,21.25,21.20,21.25,-0.10,6
