股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1475,業旺,20250602,42473,1869228,45.10,45.10,43.60,43.65,-1.95,73
1475,業旺,20250603,25001,1094894,44.00,44.15,43.60,43.80,+0.15,20
1475,業旺,20250604,28055,1238206,44.20,44.50,43.90,44.40,+0.60,26
1475,業旺,20250605,47673,2096229,44.65,44.65,43.50,43.75,-0.65,36
1475,業旺,20250606,23074,1011969,44.45,44.50,43.50,44.15,+0.40,27
1475,業旺,20250609,82540,3553155,43.50,43.70,42.35,43.70,-0.45,89
1475,業旺,20250610,48000,2094950,43.65,43.95,43.50,43.50,-0.20,36
1475,業旺,20250611,311975,12648373,42.55,42.55,39.30,41.00,-2.50,288
1475,業旺,20250612,55544,2266503,40.15,41.20,40.15,40.80,-0.20,54
1475,業旺,20250613,44556,1822982,40.80,41.10,40.70,41.10,+0.30,45
1475,業旺,20250616,31309,1281592,41.05,41.25,40.70,41.00,-0.10,40
1475,業旺,20250617,28975,1189749,40.45,41.50,40.45,40.75,-0.25,55
1475,業旺,20250618,26067,1075053,40.90,41.50,40.90,41.10,+0.35,49
1475,業旺,20250619,49758,2017977,41.45,41.45,40.20,40.55,-0.55,89
1475,業旺,20250620,62263,2518576,40.70,40.80,40.20,40.80,+0.25,125
