股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1504,東元,20250602,2943689,154592853,52.00,52.90,52.00,52.70, 0.00,"2,230"
1504,東元,20250603,3689822,194971688,52.10,53.20,52.10,53.20,+0.50,"2,416"
1504,東元,20250604,4430477,233891382,53.20,53.40,52.60,52.60,-0.60,"2,478"
1504,東元,20250605,3468286,179826728,52.60,53.10,51.40,51.40,-1.20,"5,168"
1504,東元,20250606,1995452,104030080,51.50,52.40,51.40,52.20,+0.80,"1,683"
1504,東元,20250609,3220914,168724370,52.20,52.90,52.10,52.50,+0.30,"3,052"
1504,東元,20250610,3093637,162639217,52.20,52.90,52.00,52.40,-0.10,"2,233"
1504,東元,20250611,3861469,203938611,52.40,53.10,52.30,52.60,+0.20,"2,526"
1504,東元,20250612,2417709,128185127,52.60,53.20,52.60,52.80,+0.20,"1,850"
1504,東元,20250613,3591409,190341315,52.30,53.60,52.30,52.80, 0.00,"2,681"
1504,東元,20250616,3190372,169846257,53.00,53.40,52.70,53.40,+0.60,"2,392"
1504,東元,20250617,4930908,262370131,53.60,53.60,52.60,53.20,-0.20,"4,477"
1504,東元,20250618,4987474,262113974,52.50,52.80,52.30,52.60,-0.60,"5,686"
1504,東元,20250619,8691024,427438635,50.00,50.20,48.75,48.75,X0.00,"6,286"
1504,東元,20250620,8113331,390333610,48.55,48.90,47.50,48.40,-0.35,"5,402"
