股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1512,瑞利,20250602,85043,639819,7.61,7.81,7.37,7.50,-0.38,96
1512,瑞利,20250603,127596,962622,7.95,7.95,7.36,7.66,+0.16,107
1512,瑞利,20250604,204404,1618515,7.59,8.10,7.59,8.00,+0.34,90
1512,瑞利,20250605,24790,198831,7.92,8.25,7.92,7.97,-0.03,22
1512,瑞利,20250606,87339,681467,7.89,7.89,7.64,7.80,-0.17,72
1512,瑞利,20250609,68535,545608,8.00,8.00,7.82,7.97,+0.17,43
1512,瑞利,20250610,38804,306345,7.81,8.05,7.81,8.03,+0.06,41
1512,瑞利,20250611,22001,174528,8.04,8.04,7.90,7.92,-0.11,18
1512,瑞利,20250612,25426,201447,7.92,7.95,7.88,7.90,-0.02,26
1512,瑞利,20250613,59040,464876,7.90,7.99,7.83,7.95,+0.05,64
1512,瑞利,20250616,35471,275510,7.90,7.90,7.70,7.84,-0.11,68
1512,瑞利,20250617,30055,230868,7.65,7.82,7.57,7.82,-0.02,25
1512,瑞利,20250618,25796,201469,7.82,7.83,7.78,7.80,-0.02,27
1512,瑞利,20250619,60000,460890,7.80,7.95,7.61,7.64,-0.16,41
1512,瑞利,20250620,16280,124093,7.62,7.64,7.60,7.61,-0.03,24
