股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1522A,堤維西甲特,20250602,1000,47800,47.80,47.80,47.80,47.80,-0.40,1
1522A,堤維西甲特,20250603,1000,48300,48.30,48.30,48.30,48.30,+0.50,1
1522A,堤維西甲特,20250604,1000,48450,48.45,48.45,48.45,48.45,+0.15,1
1522A,堤維西甲特,20250605,0,0,--,--,--,--, 0.00,0
1522A,堤維西甲特,20250606,2000,97100,48.55,48.55,48.55,48.55,X0.00,2
1522A,堤維西甲特,20250609,2000,96800,48.55,48.55,48.25,48.25,-0.30,2
1522A,堤維西甲特,20250610,2000,96850,48.55,48.55,48.30,48.30,+0.05,2
1522A,堤維西甲特,20250611,3000,145600,48.60,48.60,48.50,48.50,+0.20,3
1522A,堤維西甲特,20250612,2000,96800,48.30,48.50,48.30,48.50, 0.00,2
1522A,堤維西甲特,20250613,1260,61106,48.60,48.60,48.60,48.60,+0.10,4
1522A,堤維西甲特,20250616,1000,48700,48.70,48.70,48.70,48.70,+0.10,1
1522A,堤維西甲特,20250617,3000,146500,48.80,48.90,48.80,48.90,+0.20,2
1522A,堤維西甲特,20250618,3000,146650,48.90,48.90,48.85,48.85,-0.05,3
1522A,堤維西甲特,20250619,1000,48500,48.50,48.50,48.50,48.50,-0.35,1
1522A,堤維西甲特,20250620,0,0,--,--,--,--, 0.00,0
