股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1522,堤維西,20250602,473037,21753792,46.65,46.75,45.65,45.75,-1.10,511
1522,堤維西,20250603,457393,21017979,45.95,46.40,45.75,45.85,+0.10,402
1522,堤維西,20250604,487592,22682674,46.15,46.65,46.15,46.55,+0.70,387
1522,堤維西,20250605,347509,16222878,46.55,46.95,46.35,46.75,+0.20,312
1522,堤維西,20250606,651014,30011439,46.95,46.95,45.70,45.75,-1.00,669
1522,堤維西,20250609,568182,25875957,46.15,46.15,45.30,45.70,-0.05,486
1522,堤維西,20250610,570257,26289275,45.95,46.45,45.70,45.95,+0.25,447
1522,堤維西,20250611,766628,35390491,46.30,46.45,45.80,46.10,+0.15,573
1522,堤維西,20250612,703499,32725947,46.50,46.70,46.05,46.50,+0.40,545
1522,堤維西,20250613,1851329,83463655,46.10,46.10,44.50,44.90,-1.60,"1,648"
1522,堤維西,20250616,633301,28312642,44.40,45.25,43.85,45.20,+0.30,478
1522,堤維西,20250617,551422,24893035,45.40,45.50,44.90,45.20, 0.00,481
1522,堤維西,20250618,711780,32456735,45.40,45.85,45.35,45.40,+0.20,501
1522,堤維西,20250619,696940,31250224,45.25,45.25,44.65,44.65,-0.75,524
1522,堤維西,20250620,1355717,60675963,45.15,46.00,44.15,44.30,-0.35,994
