股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1526,日馳,20250602,18204,398998,22.50,22.50,21.60,21.80,-0.50,50
1526,日馳,20250603,24334,534008,22.20,22.20,21.70,21.80, 0.00,30
1526,日馳,20250604,51179,1126644,21.80,22.15,21.80,21.90,+0.10,49
1526,日馳,20250605,44396,961802,22.10,22.15,21.50,21.55,-0.35,57
1526,日馳,20250606,43441,936483,21.95,21.95,21.50,21.50,-0.05,38
1526,日馳,20250609,17061,366317,21.50,21.65,21.35,21.50, 0.00,45
1526,日馳,20250610,57045,1228470,21.55,21.90,21.30,21.50, 0.00,47
1526,日馳,20250611,223080,4521865,21.30,21.30,20.00,20.40,-1.10,183
1526,日馳,20250612,82495,1652018,20.35,20.55,19.85,20.05,-0.35,74
1526,日馳,20250613,69740,1370671,20.05,20.05,19.50,19.60,-0.45,79
1526,日馳,20250616,39023,751938,19.60,19.60,19.10,19.50,-0.10,57
1526,日馳,20250617,31114,617768,20.20,20.20,19.55,19.80,+0.30,46
1526,日馳,20250618,16133,317195,19.75,19.85,19.50,19.80, 0.00,31
1526,日馳,20250619,24342,472901,19.65,19.65,19.30,19.45,-0.35,40
1526,日馳,20250620,26253,522027,20.30,20.30,19.70,19.70,+0.25,36
