股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1530,亞崴,20250602,114013,3655128,32.30,32.50,31.55,31.60,-0.70,161
1530,亞崴,20250603,121084,3895675,31.65,32.45,31.65,31.70,+0.10,85
1530,亞崴,20250604,82233,2652525,31.95,32.40,31.90,32.35,+0.65,77
1530,亞崴,20250605,103669,3344968,32.40,32.50,31.95,32.20,-0.15,119
1530,亞崴,20250606,105827,3431298,32.40,32.50,32.25,32.45,+0.25,97
1530,亞崴,20250609,128580,4191541,32.45,32.85,32.30,32.55,+0.10,161
1530,亞崴,20250610,151087,4955852,32.75,33.00,32.65,32.65,+0.10,121
1530,亞崴,20250611,72400,2351665,32.65,32.65,32.25,32.45,-0.20,89
1530,亞崴,20250612,47089,1529309,32.35,32.80,32.25,32.40,-0.05,64
1530,亞崴,20250613,42214,1351490,32.80,32.80,31.75,31.75,-0.65,71
1530,亞崴,20250616,17369,549725,31.65,31.70,31.55,31.55,-0.20,57
1530,亞崴,20250617,33239,1039637,31.60,31.60,31.00,31.40,-0.15,63
1530,亞崴,20250618,9488,295950,31.30,31.30,31.05,31.05,-0.35,40
1530,亞崴,20250619,65526,2001126,31.00,31.10,30.30,30.30,-0.75,189
1530,亞崴,20250620,40096,1202836,30.30,30.35,29.65,29.80,-0.50,84
