股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1532,勤美,20250602,639345,16486877,26.00,26.00,25.60,25.85,-0.20,501
1532,勤美,20250603,889986,22853668,26.00,26.00,25.45,25.50,-0.35,584
1532,勤美,20250604,656694,17074885,25.85,26.20,25.75,26.00,+0.50,367
1532,勤美,20250605,408730,10625008,26.10,26.25,25.85,25.90,-0.10,329
1532,勤美,20250606,437087,11292015,25.90,26.00,25.75,25.75,-0.15,312
1532,勤美,20250609,682099,17327396,25.85,25.85,25.20,25.30,-0.45,560
1532,勤美,20250610,624512,15875324,25.30,25.65,25.25,25.30, 0.00,434
1532,勤美,20250611,676438,17055182,25.40,25.40,25.05,25.25,-0.05,469
1532,勤美,20250612,370313,9388306,25.25,25.55,25.20,25.20,-0.05,312
1532,勤美,20250613,966571,24096787,25.20,25.20,24.80,24.80,-0.40,766
1532,勤美,20250616,546027,13561707,24.70,25.10,24.50,24.75,-0.05,348
1532,勤美,20250617,514879,12808784,24.75,25.05,24.70,24.90,+0.15,293
1532,勤美,20250618,4103723,110806414,25.90,27.35,25.90,27.35,+2.45,"2,553"
1532,勤美,20250619,4511397,123427859,27.40,27.80,26.80,27.45,+0.10,"2,564"
1532,勤美,20250620,2437084,66561853,27.55,27.95,27.00,27.00,-0.45,"1,252"
