股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1533,車王電,20250602,39537,1116235,28.45,28.85,28.00,28.05,-0.85,52
1533,車王電,20250603,151257,4234128,28.05,28.05,27.80,27.95,-0.10,71
1533,車王電,20250604,188211,5260009,28.00,28.15,27.70,27.85,-0.10,128
1533,車王電,20250605,49045,1383517,28.40,28.50,28.00,28.00,+0.15,46
1533,車王電,20250606,27203,767346,28.40,28.40,28.05,28.05,+0.05,28
1533,車王電,20250609,37358,1030480,28.05,28.05,27.40,27.45,-0.60,41
1533,車王電,20250610,467250,14043313,28.45,30.15,28.45,30.15,+2.70,413
1533,車王電,20250611,628942,19262818,31.85,31.85,29.65,30.20,+0.05,431
1533,車王電,20250612,114121,3405802,30.15,30.15,29.35,29.90,-0.30,156
1533,車王電,20250613,61110,1817173,30.00,30.00,29.50,29.70,-0.20,46
1533,車王電,20250616,98013,2918835,29.70,30.40,29.20,29.80,+0.10,65
1533,車王電,20250617,104680,3100905,29.80,30.00,29.25,29.45,-0.35,105
1533,車王電,20250618,35201,1041253,29.45,29.85,29.45,29.60,+0.15,39
1533,車王電,20250619,40560,1190418,29.45,29.75,29.20,29.45,-0.15,50
1533,車王電,20250620,77410,2218900,29.20,29.20,28.10,28.70,-0.75,79
