股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1582,信錦,20250602,897531,70056508,78.00,78.40,77.60,78.00,+0.50,876
1582,信錦,20250603,1252986,99178952,78.30,79.80,78.30,78.90,+0.90,"1,150"
1582,信錦,20250604,925155,73479763,79.90,79.90,79.00,79.00,+0.10,793
1582,信錦,20250605,826321,65300524,79.00,79.50,78.70,78.90,-0.10,697
1582,信錦,20250606,728007,57057221,78.90,79.00,78.10,78.50,-0.40,737
1582,信錦,20250609,698620,54428455,79.10,79.10,77.40,78.00,-0.50,738
1582,信錦,20250610,1247131,96919435,77.40,78.50,76.70,77.80,-0.20,875
1582,信錦,20250611,1491948,115943105,78.50,78.80,77.20,77.30,-0.50,"1,043"
1582,信錦,20250612,894338,69682334,78.10,78.10,77.60,77.90,+0.60,650
1582,信錦,20250613,2055237,158283182,78.00,78.00,76.50,77.00,-0.90,"1,615"
1582,信錦,20250616,3022522,215071883,71.50,71.50,69.80,70.00,X0.00,"1,980"
1582,信錦,20250617,1870215,130036086,70.20,71.20,68.70,69.10,-0.90,"1,820"
1582,信錦,20250618,1813625,130500065,69.20,73.30,68.80,72.70,+3.60,"1,646"
1582,信錦,20250619,2841569,207976479,73.00,74.50,72.10,72.10,-0.60,"2,800"
1582,信錦,20250620,1215546,85495514,72.10,72.20,69.60,69.60,-2.50,"1,275"
