股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1587,吉茂,20250602,157169,4623547,29.60,29.80,29.25,29.25,-0.55,122
1587,吉茂,20250603,193508,5616543,29.25,29.45,28.55,29.00,-0.25,414
1587,吉茂,20250604,112671,3287481,29.20,29.50,28.85,28.90,-0.10,115
1587,吉茂,20250605,456504,14245807,29.50,31.75,29.05,31.75,+2.85,344
1587,吉茂,20250606,1411173,44481733,32.50,32.80,30.65,30.65,X0.00,"1,134"
1587,吉茂,20250609,248991,7589523,30.55,30.95,30.20,30.20,-0.45,310
1587,吉茂,20250610,179059,5390947,30.40,30.45,29.95,30.05,-0.15,154
1587,吉茂,20250611,140771,4232468,30.20,30.40,29.80,30.15,+0.10,120
1587,吉茂,20250612,77842,2355836,30.15,30.40,30.15,30.25,+0.10,61
1587,吉茂,20250613,154075,4607694,30.25,30.25,29.65,30.00,-0.25,117
1587,吉茂,20250616,132692,3998645,30.00,30.40,29.95,30.40,+0.40,114
1587,吉茂,20250617,42788,1298897,30.20,30.50,30.15,30.40, 0.00,54
1587,吉茂,20250618,48561,1462864,30.00,30.40,30.00,30.20,-0.20,67
1587,吉茂,20250619,131072,3906805,30.20,30.20,29.50,29.85,-0.35,241
1587,吉茂,20250620,88094,2606809,29.95,30.00,29.30,29.40,-0.45,109
