股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1711,永光,20250602,4976534,85146394,17.60,17.65,16.85,17.00,-0.70,"2,437"
1711,永光,20250603,2394822,40651959,17.15,17.25,16.80,16.85,-0.15,"1,447"
1711,永光,20250604,2263335,38767757,17.05,17.30,17.00,17.05,+0.20,"1,379"
1711,永光,20250605,1679375,28674967,17.10,17.30,16.95,17.00,-0.05,"1,003"
1711,永光,20250606,1214403,20622915,17.00,17.10,16.90,16.95,-0.05,730
1711,永光,20250609,2247485,37455416,16.95,17.00,16.55,16.65,-0.30,"1,529"
1711,永光,20250610,1827339,30886004,16.70,17.05,16.70,16.85,+0.20,926
1711,永光,20250611,1344782,22630089,16.95,16.95,16.65,16.85, 0.00,851
1711,永光,20250612,885930,14949975,16.90,17.00,16.70,17.00,+0.15,532
1711,永光,20250613,2967644,49173644,16.90,16.90,16.40,16.40,-0.60,"1,802"
1711,永光,20250616,729084,11999150,16.35,16.60,16.20,16.45,+0.05,467
1711,永光,20250617,1100834,18164095,16.55,16.70,16.35,16.40,-0.05,661
1711,永光,20250618,1962881,32822107,16.45,17.15,16.45,16.70,+0.30,"1,013"
1711,永光,20250619,1867159,30133465,16.45,16.45,15.95,15.95,X0.00,"1,248"
1711,永光,20250620,1482032,23282423,15.95,16.15,15.55,15.55,-0.40,"1,069"
