股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1713,國化,20250602,218427,11579221,53.70,53.70,52.70,52.80,-0.90,212
1713,國化,20250603,157187,8341932,53.10,53.30,52.90,53.30,+0.50,118
1713,國化,20250604,219106,11712839,53.00,53.90,53.00,53.40,+0.10,155
1713,國化,20250605,107447,5731796,53.50,53.80,53.10,53.20,-0.20,98
1713,國化,20250606,354723,19186920,53.70,54.70,53.20,54.30,+1.10,254
1713,國化,20250609,306134,16745643,54.80,55.20,54.20,54.90,+0.60,294
1713,國化,20250610,258960,14289300,55.30,55.50,54.70,55.00,+0.10,196
1713,國化,20250611,166253,9166256,55.20,55.40,54.90,55.20,+0.20,128
1713,國化,20250612,206555,11433004,55.00,55.70,54.90,55.30,+0.10,126
1713,國化,20250613,225931,12460448,55.20,55.50,54.90,54.90,-0.40,169
1713,國化,20250616,361638,19879142,54.90,55.50,54.40,55.20,+0.30,197
1713,國化,20250617,107979,5947166,55.60,55.60,54.90,55.20, 0.00,191
1713,國化,20250618,347756,19149970,55.20,55.50,54.70,55.10,-0.10,214
1713,國化,20250619,182496,10013891,55.40,55.40,54.60,54.70,-0.40,177
1713,國化,20250620,197544,10802590,54.70,55.00,54.50,54.70, 0.00,173
