股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1795,美時,20250602,1220220,284967599,233.00,237.00,231.50,233.00,-1.50,"1,576"
1795,美時,20250603,1686403,398246463,233.50,239.00,232.00,236.00,+3.00,"1,982"
1795,美時,20250604,1101359,260526755,239.00,239.00,235.50,236.00, 0.00,"1,392"
1795,美時,20250605,994800,235900987,236.00,239.00,235.00,236.50,+0.50,"1,925"
1795,美時,20250606,761797,180736385,238.00,239.00,236.00,237.00,+0.50,"1,027"
1795,美時,20250609,1054478,247143217,238.50,238.50,232.00,234.50,-2.50,"2,008"
1795,美時,20250610,1578531,368112276,236.00,236.50,231.50,233.00,-1.50,"1,804"
1795,美時,20250611,4292730,953612661,226.00,226.00,220.00,222.00,-11.00,"5,957"
1795,美時,20250612,1821275,406331790,222.50,226.00,222.00,223.50,+1.50,"2,003"
1795,美時,20250613,1561884,345403911,223.50,224.50,218.50,218.50,-5.00,"2,931"
1795,美時,20250616,657342,144196973,217.50,221.00,216.00,221.00,+2.50,793
1795,美時,20250617,655484,144181666,221.00,223.00,219.00,219.50,-1.50,900
1795,美時,20250618,531296,116802169,220.00,221.50,218.50,219.00,-0.50,807
1795,美時,20250619,1012673,219543811,219.50,220.00,216.00,216.00,-3.00,"1,404"
1795,美時,20250620,1459401,314882219,217.00,218.00,213.00,216.00, 0.00,"1,035"
