股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1796,金穎生技,20250602,13000,563000,45.00,45.10,44.90,44.95,-0.05,41
1796,金穎生技,20250603,10000,451000,44.95,45.20,44.95,45.20,0.25,10
1796,金穎生技,20250604,2000,98000,45.50,45.80,45.50,45.80,0.60,7
1796,金穎生技,20250605,15000,689000,45.50,46.20,45.50,46.00,0.20,18
1796,金穎生技,20250606,33000,1504000,45.50,45.80,45.00,45.30,-0.70,53
1796,金穎生技,20250609,20000,896000,45.00,45.00,44.00,44.15,-1.15,57
1796,金穎生技,20250610,34000,1509000,44.05,45.45,44.00,44.50,0.35,22
1796,金穎生技,20250611,10000,447000,44.50,45.00,44.50,45.00,0.50,10
1796,金穎生技,20250612,6000,269000,44.60,44.80,44.60,44.80,-0.20,7
1796,金穎生技,20250613,13000,586000,44.80,45.00,44.80,44.80,0.00,17
1796,金穎生技,20250616,3000,143000,44.80,44.80,44.30,44.30,-0.50,26
1796,金穎生技,20250617,14000,630000,44.30,44.50,44.30,44.30,0.00,19
1796,金穎生技,20250618,8000,355000,44.30,44.50,44.20,44.40,0.10,8
1796,金穎生技,20250619,18000,790000,44.00,44.05,43.40,43.80,-0.60,15
1796,金穎生技,20250620,8000,350000,43.50,43.80,43.50,43.80,0.00,9
