股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1815,富喬,20250602,116696000,4109516000,34.80,35.85,34.65,34.90,-0.20,"45,018"
1815,富喬,20250603,182407000,6486376000,36.05,36.90,34.75,35.50,0.60,"68,176"
1815,富喬,20250604,233058000,8798929000,35.80,39.00,35.80,39.00,3.50,"96,152"
1815,富喬,20250605,166687000,6484013000,38.95,39.70,37.90,39.20,0.20,"75,640"
1815,富喬,20250606,94263000,3684865000,39.10,39.65,38.35,39.50,0.30,"38,972"
1815,富喬,20250609,193186000,7487305000,39.00,40.05,36.95,39.65,0.15,"77,162"
1815,富喬,20250610,171748000,6950608000,39.70,41.40,39.70,39.75,0.10,"76,934"
1815,富喬,20250611,102450000,4015128000,40.10,40.50,38.45,38.45,-1.30,"42,500"
1815,富喬,20250612,57642000,2221261000,38.50,39.10,38.10,38.20,-0.25,"24,659"
1815,富喬,20250613,86533000,3306835000,37.95,39.25,37.45,37.55,-0.65,"35,394"
1815,富喬,20250616,71202000,2743715000,37.20,39.35,37.20,39.35,1.80,"31,805"
1815,富喬,20250617,105114000,4103306000,39.30,39.95,38.20,38.20,-1.15,"42,105"
1815,富喬,20250618,52493000,2006970000,38.25,38.75,37.90,37.90,-0.30,"22,233"
1815,富喬,20250619,45015000,1695740000,37.60,38.15,37.30,37.30,-0.60,"19,243"
1815,富喬,20250620,51463000,1889405000,37.40,37.75,36.20,36.20,-1.10,"22,427"
