股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2030,彰源,20250602,308020,4695815,15.10,15.60,15.00,15.60,+0.30,218
2030,彰源,20250603,247510,3788074,15.60,15.60,15.10,15.45,-0.15,179
2030,彰源,20250604,326889,5076224,15.45,15.60,15.30,15.60,+0.15,166
2030,彰源,20250605,218927,3409091,15.50,15.70,15.35,15.70,+0.10,125
2030,彰源,20250606,73711,1141668,15.50,15.60,15.45,15.45,-0.25,111
2030,彰源,20250609,184869,2817879,15.30,15.35,15.10,15.15,-0.30,161
2030,彰源,20250610,172066,2626645,15.35,15.40,15.10,15.10,-0.05,130
2030,彰源,20250611,217662,3276825,15.05,15.20,15.00,15.10, 0.00,138
2030,彰源,20250612,179927,2702959,15.15,15.15,15.00,15.00,-0.10,122
2030,彰源,20250613,263940,3909438,14.90,14.95,14.75,14.75,-0.25,240
2030,彰源,20250616,112773,1666123,14.75,14.90,14.70,14.80,+0.05,108
2030,彰源,20250617,146831,2185357,14.80,14.95,14.80,14.90,+0.10,104
2030,彰源,20250618,166214,2501461,14.90,15.20,14.85,15.05,+0.15,151
2030,彰源,20250619,155263,2312851,15.00,15.05,14.80,14.80,-0.25,137
2030,彰源,20250620,218118,3195235,14.75,14.80,14.55,14.60,-0.20,198
