股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2103,台橡,20250602,1066556,19181049,18.35,18.35,17.85,18.10,-0.25,600
2103,台橡,20250603,814602,14596029,18.10,18.10,17.85,17.90,-0.20,527
2103,台橡,20250604,675311,12259407,17.90,18.30,17.90,18.10,+0.20,444
2103,台橡,20250605,403134,7302110,18.05,18.25,18.00,18.05,-0.05,308
2103,台橡,20250606,550763,10038318,18.10,18.30,18.10,18.15,+0.10,379
2103,台橡,20250609,822706,14761842,18.30,18.30,17.85,17.95,-0.20,450
2103,台橡,20250610,649704,11841308,18.10,18.35,18.05,18.10,+0.15,426
2103,台橡,20250611,481243,8704333,18.10,18.20,18.00,18.10, 0.00,354
2103,台橡,20250612,397096,7206507,18.20,18.25,18.10,18.10, 0.00,265
2103,台橡,20250613,781398,13953890,18.00,18.00,17.75,17.85,-0.25,608
2103,台橡,20250616,431062,7681064,17.85,17.95,17.70,17.95,+0.10,318
2103,台橡,20250617,412907,7413801,17.95,18.15,17.85,18.00,+0.05,278
2103,台橡,20250618,576381,10452376,18.05,18.25,18.00,18.10,+0.10,411
2103,台橡,20250619,893535,16385751,18.00,18.00,17.80,17.85,-0.25,427
2103,台橡,20250620,5039146,88933080,17.85,17.85,17.50,17.65,-0.20,702
