股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2201,裕隆,20250602,2799917,99407848,36.20,36.30,35.15,35.40,-1.25,"2,125"
2201,裕隆,20250603,1627306,57525731,35.55,35.70,35.15,35.20,-0.20,"1,437"
2201,裕隆,20250604,2024838,72961116,35.55,36.55,35.40,36.05,+0.85,"1,471"
2201,裕隆,20250605,2595676,92941082,36.05,36.55,35.30,35.55,-0.50,"1,921"
2201,裕隆,20250606,1007004,36008029,35.60,35.95,35.50,35.70,+0.15,741
2201,裕隆,20250609,935243,33227000,36.00,36.00,35.35,35.50,-0.20,784
2201,裕隆,20250610,2287350,82888180,35.50,36.70,35.45,36.00,+0.50,"1,569"
2201,裕隆,20250611,1585343,56739136,36.00,36.30,35.45,35.85,-0.15,"1,180"
2201,裕隆,20250612,995706,35533847,36.00,36.05,35.55,35.55,-0.30,892
2201,裕隆,20250613,2705243,94164349,35.35,35.40,34.50,34.55,-1.00,"2,044"
2201,裕隆,20250616,2054681,70217280,34.15,34.50,33.85,34.30,-0.25,"1,298"
2201,裕隆,20250617,1435762,49558347,34.55,34.80,34.20,34.70,+0.40,"1,143"
2201,裕隆,20250618,1166930,40338784,34.50,34.90,34.30,34.45,-0.25,"1,329"
2201,裕隆,20250619,1466366,50442478,34.50,34.90,34.25,34.30,-0.15,"1,051"
2201,裕隆,20250620,2574716,86345917,34.30,34.35,33.35,33.45,-0.85,"1,680"
