股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2204,中華,20250602,2252065,149187860,67.50,67.90,65.40,65.40,-2.60,"1,407"
2204,中華,20250603,1093781,72178527,65.90,66.80,65.60,66.00,+0.60,966
2204,中華,20250604,1714884,111936888,66.00,66.10,64.50,65.20,-0.80,"1,750"
2204,中華,20250605,735075,47941224,65.20,65.90,64.80,65.20, 0.00,739
2204,中華,20250606,1121810,72590504,65.20,65.50,64.20,64.50,-0.70,"1,286"
2204,中華,20250609,534053,34662883,65.30,65.40,64.20,65.10,+0.60,617
2204,中華,20250610,672712,44256161,65.10,66.40,64.90,65.50,+0.40,706
2204,中華,20250611,614315,39947814,65.20,65.50,64.60,65.10,-0.40,760
2204,中華,20250612,1619318,103821131,65.10,65.10,63.70,63.70,-1.40,"1,846"
2204,中華,20250613,824765,52234404,63.30,64.10,62.60,63.10,-0.60,987
2204,中華,20250616,754171,47143266,62.60,63.10,62.10,62.70,-0.40,"1,037"
2204,中華,20250617,686856,43561489,62.80,63.90,62.80,63.90,+1.20,741
2204,中華,20250618,703529,45119867,63.60,64.50,63.50,63.90, 0.00,824
2204,中華,20250619,864200,54490489,63.30,63.90,62.70,63.00,-0.90,"1,044"
2204,中華,20250620,1075077,66888694,63.00,63.20,61.90,61.90,-1.10,953
