股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2235,謚源,20250602,0,0,--,--,--,--,0.00,0
2235,謚源,20250603,0,3000,--,--,--,--,0.00,2
2235,謚源,20250604,2000,91000,45.50,45.50,45.50,45.50,0.00,3
2235,謚源,20250605,13000,596000,45.35,46.15,45.35,46.10,0.60,15
2235,謚源,20250606,3000,138000,45.80,46.35,45.80,46.35,0.25,3
2235,謚源,20250609,1000,46000,46.05,46.05,46.05,46.05,-0.30,1
2235,謚源,20250610,1000,50000,46.00,46.00,46.00,46.00,-0.05,2
2235,謚源,20250611,0,8000,--,--,--,--,0.00,8
2235,謚源,20250612,3000,137000,45.50,45.80,45.50,45.70,0.00,4
2235,謚源,20250613,2000,91000,45.00,45.60,45.00,45.60,-0.10,2
2235,謚源,20250616,2000,93000,45.80,45.80,45.80,45.80,0.20,5
2235,謚源,20250617,0,0,--,--,--,--,0.00,1
2235,謚源,20250618,11000,498000,44.50,45.75,44.50,45.75,0.00,12
2235,謚源,20250619,1000,46000,45.70,45.70,45.70,45.70,-0.05,1
2235,謚源,20250620,13000,590000,45.70,46.65,44.95,45.50,-0.20,13
