股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2301,光寶科,20250602,7013450,705678362,101.00,101.50,100.00,101.00,-0.50,"3,377"
2301,光寶科,20250603,8630547,886253864,101.50,103.50,101.00,103.00,+2.00,"3,641"
2301,光寶科,20250604,15950113,1685881334,103.50,107.50,103.50,106.00,+3.00,"8,009"
2301,光寶科,20250605,9961892,1058815268,106.00,107.50,105.00,106.00, 0.00,"4,843"
2301,光寶科,20250606,4476941,475686112,106.00,107.00,105.50,106.00, 0.00,"2,882"
2301,光寶科,20250609,3196263,337250173,107.00,107.00,104.50,105.50,-0.50,"2,054"
2301,光寶科,20250610,4658085,496216523,105.50,107.00,105.00,107.00,+1.50,"2,747"
2301,光寶科,20250611,9783310,1027930886,107.00,107.50,104.00,106.00,-1.00,"3,995"
2301,光寶科,20250612,5462093,584677702,106.00,107.50,105.50,107.50,+1.50,"3,425"
2301,光寶科,20250613,8772918,946497115,107.00,108.50,106.00,108.50,+1.00,"5,112"
2301,光寶科,20250616,3681739,398117106,107.50,108.50,107.00,108.50, 0.00,"2,547"
2301,光寶科,20250617,5088998,549521747,109.00,109.50,107.00,107.50,-1.00,"3,182"
2301,光寶科,20250618,5646590,614307585,108.50,109.50,107.50,108.50,+1.00,"3,681"
2301,光寶科,20250619,2721306,292801598,108.50,109.00,107.00,107.00,-1.50,"2,166"
2301,光寶科,20250620,14538268,1555740478,107.00,108.50,106.00,107.00, 0.00,"3,087"
