股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2328,廣宇,20250602,6136416,229660257,38.30,38.30,37.05,37.40,-0.95,"4,069"
2328,廣宇,20250603,5155599,191746480,37.45,37.80,36.85,36.85,-0.55,"3,042"
2328,廣宇,20250604,7602625,289712288,37.30,38.60,37.30,38.15,+1.30,"4,474"
2328,廣宇,20250605,27246797,1074122510,38.55,40.35,38.30,38.55,+0.40,"14,993"
2328,廣宇,20250606,20139785,794375598,38.65,39.75,38.35,39.75,+1.20,"11,668"
2328,廣宇,20250609,13710899,537557090,40.00,40.05,38.80,39.20,-0.55,"7,620"
2328,廣宇,20250610,12084430,466450440,38.80,38.90,38.25,38.80,-0.40,"6,786"
2328,廣宇,20250611,7790228,304242353,39.05,39.40,38.70,39.00,+0.20,"4,165"
2328,廣宇,20250612,23512831,941135280,39.15,40.60,39.05,40.00,+1.00,"12,066"
2328,廣宇,20250613,20132740,800671585,40.00,40.65,39.05,39.15,-0.85,"11,002"
2328,廣宇,20250616,5477042,213350798,38.90,39.25,38.60,39.10,-0.05,"3,273"
2328,廣宇,20250617,10231086,402554242,39.30,40.00,38.95,38.95,-0.15,"5,152"
2328,廣宇,20250618,14920071,594391162,39.10,40.40,39.05,39.70,+0.75,"7,569"
2328,廣宇,20250619,10728869,419018059,39.75,39.90,38.70,38.75,-0.95,"5,965"
2328,廣宇,20250620,13437993,521423490,38.85,39.75,37.85,39.40,+0.65,"7,624"
