股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2355,敬鵬,20250602,1469745,48156044,33.30,33.30,32.50,32.50,-1.00,"1,168"
2355,敬鵬,20250603,923108,29984508,32.80,32.80,32.15,32.30,-0.20,838
2355,敬鵬,20250604,3575529,120936879,33.70,34.45,33.20,33.95,+1.65,"2,500"
2355,敬鵬,20250605,1212438,40606633,33.90,33.90,33.30,33.45,-0.50,"1,014"
2355,敬鵬,20250606,830707,27846276,33.70,33.90,33.30,33.35,-0.10,657
2355,敬鵬,20250609,801834,26377666,33.50,33.50,32.65,32.70,-0.65,666
2355,敬鵬,20250610,879962,28823162,32.70,32.95,32.55,32.55,-0.15,710
2355,敬鵬,20250611,717563,23452012,32.55,32.90,32.50,32.70,+0.15,618
2355,敬鵬,20250612,375463,12307158,32.70,32.95,32.70,32.80,+0.10,367
2355,敬鵬,20250613,1599475,51204581,32.55,32.55,31.65,31.75,-1.05,"1,219"
2355,敬鵬,20250616,484870,15356764,31.65,32.00,31.20,31.75, 0.00,401
2355,敬鵬,20250617,718664,22778977,31.90,32.05,31.50,31.55,-0.20,637
2355,敬鵬,20250618,916509,29277946,31.50,32.25,31.50,32.15,+0.60,680
2355,敬鵬,20250619,757590,23908614,32.00,32.00,31.40,31.40,-0.75,758
2355,敬鵬,20250620,1009071,31206986,31.40,31.45,30.75,30.75,-0.65,716
