股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2365,昆盈,20250602,2630533,96846441,36.95,37.55,36.30,36.95,-0.60,"1,564"
2365,昆盈,20250603,1979041,73293391,37.10,37.40,36.75,36.90,-0.05,"1,370"
2365,昆盈,20250604,9374880,366238542,37.35,40.00,37.35,38.85,+1.95,"5,843"
2365,昆盈,20250605,2860159,109676771,38.60,38.80,38.00,38.10,-0.75,"1,941"
2365,昆盈,20250606,2008796,76204139,38.10,38.40,37.65,37.70,-0.40,"1,380"
2365,昆盈,20250609,1774103,66023561,37.90,37.95,36.95,37.00,-0.70,"1,286"
2365,昆盈,20250610,4227350,159802758,37.20,38.45,37.10,37.55,+0.55,"2,817"
2365,昆盈,20250611,2118624,79337485,37.75,38.10,37.20,37.35,-0.20,"1,558"
2365,昆盈,20250612,1956913,73402255,37.35,37.80,37.10,37.60,+0.25,"1,244"
2365,昆盈,20250613,2616630,95846105,37.20,37.20,36.20,36.60,-1.00,"1,818"
2365,昆盈,20250616,1200238,43596805,36.30,36.75,36.05,36.35,-0.25,902
2365,昆盈,20250617,1444639,52714754,36.65,37.00,36.10,36.10,-0.25,"1,193"
2365,昆盈,20250618,958946,34674955,36.15,36.45,36.00,36.15,+0.05,796
2365,昆盈,20250619,1815478,64573786,36.15,36.15,35.25,35.25,-0.90,"1,312"
2365,昆盈,20250620,2050589,72095218,35.10,36.10,34.55,34.55,-0.70,"1,501"
