股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2373,震旦行,20250602,39342,2404846,61.40,61.70,60.80,60.90,-0.70,54
2373,震旦行,20250603,29338,1788919,61.20,61.40,60.70,60.70,-0.20,55
2373,震旦行,20250604,23733,1455823,61.20,61.60,61.10,61.10,+0.40,53
2373,震旦行,20250605,14461,887470,61.20,61.50,61.20,61.50,+0.40,28
2373,震旦行,20250606,16685,1021410,61.00,61.60,60.70,61.40,-0.10,34
2373,震旦行,20250609,5022,308538,61.50,61.50,61.50,61.50,+0.10,68
2373,震旦行,20250610,48663,3013697,61.60,62.10,61.60,61.60,+0.10,83
2373,震旦行,20250611,31876,1950809,61.60,61.60,61.00,61.00,-0.60,152
2373,震旦行,20250612,25968,1583149,61.10,61.10,60.80,61.10,+0.10,115
2373,震旦行,20250613,38592,2338572,60.50,61.20,60.40,60.50,-0.60,57
2373,震旦行,20250616,14363,872803,60.90,60.90,60.50,60.90,+0.40,21
2373,震旦行,20250617,36103,2194499,60.90,60.90,60.60,60.90, 0.00,45
2373,震旦行,20250618,25835,1573479,61.00,61.10,60.60,61.10,+0.20,41
2373,震旦行,20250619,44392,2677305,60.60,60.60,60.10,60.30,-0.80,84
2373,震旦行,20250620,18902,1142574,60.50,61.00,60.10,60.80,+0.50,37
