股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2385,群光,20250602,6769361,1140987845,168.00,170.50,167.50,167.50,-1.50,"5,197"
2385,群光,20250603,8758575,1449930160,168.00,169.00,164.00,164.00,-3.50,"10,271"
2385,群光,20250604,8878182,1434609381,165.00,165.00,159.50,159.50,-4.50,"20,257"
2385,群光,20250605,7163515,1140314788,161.00,162.50,158.00,158.50,-1.00,"5,074"
2385,群光,20250606,6510272,1027812551,159.50,160.00,156.50,156.50,-2.00,"4,493"
2385,群光,20250609,5833536,921793455,159.00,160.00,156.50,157.50,+1.00,"3,925"
2385,群光,20250610,8074771,1279176232,159.50,161.00,156.50,156.50,-1.00,"4,665"
2385,群光,20250611,8448484,1336420428,158.00,160.00,156.50,158.00,+1.50,"4,523"
2385,群光,20250612,6809703,1079684407,159.00,159.50,158.00,158.00, 0.00,"3,511"
2385,群光,20250613,6175128,957435864,158.00,158.00,154.00,154.50,-3.50,"4,106"
2385,群光,20250616,5607875,856130915,154.00,155.00,151.50,153.00,-1.50,"4,742"
2385,群光,20250617,20395730,2841898043,139.50,141.50,134.00,140.00,X0.00,"13,417"
2385,群光,20250618,8125350,1116685146,141.00,141.00,136.00,137.50,-2.50,"6,784"
2385,群光,20250619,4332697,591411756,138.00,139.00,135.00,135.00,-2.50,"3,810"
2385,群光,20250620,9672948,1271672256,135.50,136.00,129.00,131.50,-3.50,"6,419"
