股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2393,億光,20250602,1140964,89943660,80.20,80.20,78.40,78.80,-2.50,"1,156"
2393,億光,20250603,1270529,99532816,79.60,79.70,77.50,77.50,-1.30,"1,215"
2393,億光,20250604,3322662,256838817,78.30,78.70,76.50,77.30,-0.20,"2,641"
2393,億光,20250605,4443849,336125821,76.80,76.80,75.00,75.00,-2.30,"3,649"
2393,億光,20250606,1858431,139223591,74.60,75.60,74.20,75.50,+0.50,"1,727"
2393,億光,20250609,2245341,169733163,75.70,76.30,74.60,76.30,+0.80,"1,666"
2393,億光,20250610,2595947,198302744,76.10,77.20,75.60,76.80,+0.50,"1,775"
2393,億光,20250611,3409724,259943367,76.80,77.40,75.10,77.40,+0.60,"2,520"
2393,億光,20250612,3234639,248685771,77.80,78.20,75.70,77.10,-0.30,"2,185"
2393,億光,20250613,2100721,159671333,76.20,76.50,75.60,75.60,-1.50,"1,539"
2393,億光,20250616,1989119,150494112,75.60,76.10,74.80,76.10,+0.50,"1,348"
2393,億光,20250617,2127291,159579621,76.10,76.10,74.30,74.30,-1.80,"1,852"
2393,億光,20250618,2049153,152324995,74.30,74.80,73.90,74.40,+0.10,"1,837"
2393,億光,20250619,1436172,105526426,74.20,74.50,73.10,73.10,-1.30,"1,394"
2393,億光,20250620,3331459,241057058,73.40,73.40,71.90,72.30,-0.80,"1,506"
