股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2397,友通,20250602,258530,16412993,65.30,65.30,62.70,63.40,-2.70,288
2397,友通,20250603,104766,6625331,63.40,64.00,62.90,63.00,-0.40,120
2397,友通,20250604,211637,13718881,64.30,65.30,64.30,64.50,+1.50,224
2397,友通,20250605,110947,7137528,64.50,65.30,63.50,63.50,-1.00,146
2397,友通,20250606,127070,8209282,63.70,65.30,63.50,64.90,+1.40,121
2397,友通,20250609,97775,6294018,65.30,65.30,64.00,64.20,-0.70,105
2397,友通,20250610,182607,11875328,65.00,65.50,64.60,64.80,+0.60,190
2397,友通,20250611,172408,11307895,66.00,66.00,65.00,65.60,+0.80,204
2397,友通,20250612,127009,8366995,65.90,66.50,65.20,65.80,+0.20,161
2397,友通,20250613,214221,13792018,65.50,65.50,63.90,64.00,-1.80,354
2397,友通,20250616,121532,7769088,64.90,64.90,63.10,64.40,+0.40,136
2397,友通,20250617,216192,14012491,65.20,65.60,64.10,64.10,-0.30,219
2397,友通,20250618,107696,6923883,64.10,64.70,63.90,64.20,+0.10,105
2397,友通,20250619,202482,12842398,64.20,64.20,63.00,63.00,-1.20,240
2397,友通,20250620,147483,9244450,62.90,63.60,62.00,62.70,-0.30,156
