股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2457,飛宏,20250602,1923475,43159531,22.75,22.95,22.10,22.10,-0.65,983
2457,飛宏,20250603,1136805,25030737,22.30,22.45,21.80,22.00,-0.10,680
2457,飛宏,20250604,1125233,25343872,22.30,22.70,22.20,22.70,+0.70,701
2457,飛宏,20250605,802384,18172076,22.70,22.90,22.50,22.60,-0.10,550
2457,飛宏,20250606,1250508,28296526,22.65,22.80,22.40,22.60, 0.00,723
2457,飛宏,20250609,1204654,26770332,22.85,23.10,21.85,22.20,-0.40,872
2457,飛宏,20250610,1403965,31234242,22.25,22.55,22.05,22.10,-0.10,840
2457,飛宏,20250611,1524920,33959095,22.35,22.55,21.95,22.40,+0.30,973
2457,飛宏,20250612,1179275,26461451,22.25,22.65,22.15,22.35,-0.05,722
2457,飛宏,20250613,1645421,36156923,22.25,22.40,21.75,21.75,-0.60,"1,082"
2457,飛宏,20250616,826122,18009357,21.95,22.05,21.30,22.05,+0.30,606
2457,飛宏,20250617,667574,14685018,22.30,22.30,21.75,22.00,-0.05,527
2457,飛宏,20250618,713227,15743127,22.00,22.30,21.85,21.95,-0.05,500
2457,飛宏,20250619,1252609,26645485,21.90,21.90,21.00,21.20,-0.75,914
2457,飛宏,20250620,1350826,28135200,21.20,21.25,20.60,20.60,-0.60,694
