股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2458,義隆,20250602,3550470,477639161,135.50,137.50,133.00,134.00,-4.00,"3,303"
2458,義隆,20250603,3002131,401217912,134.00,135.50,132.00,133.00,-1.00,"2,629"
2458,義隆,20250604,4198066,552098264,135.00,135.50,129.50,129.50,-3.50,"3,462"
2458,義隆,20250605,4433869,575532727,131.00,132.50,128.00,129.50, 0.00,"3,125"
2458,義隆,20250606,5268027,671850529,129.00,130.50,126.00,128.00,-1.50,"3,782"
2458,義隆,20250609,3785303,481658616,128.50,130.50,126.00,126.50,-1.50,"2,656"
2458,義隆,20250610,3358452,430202233,127.00,129.50,126.50,127.50,+1.00,"2,335"
2458,義隆,20250611,4326677,554065532,128.50,130.00,126.50,127.00,-0.50,"2,805"
2458,義隆,20250612,4362994,555369876,127.50,129.50,126.00,126.00,-1.00,"2,834"
2458,義隆,20250613,2073820,259974405,125.50,127.00,124.50,124.50,-1.50,"1,511"
2458,義隆,20250616,1130137,141453544,125.00,126.00,124.50,125.00,+0.50,952
2458,義隆,20250617,4613581,589570077,125.50,130.00,125.00,128.00,+3.00,"2,947"
2458,義隆,20250618,2784664,352001949,128.00,128.00,125.50,126.50,-1.50,"2,295"
2458,義隆,20250619,1001478,125470893,126.50,127.00,125.00,125.00,-1.50,849
2458,義隆,20250620,1756473,214199141,125.00,125.00,121.00,121.50,-3.50,"1,385"
