股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2493,揚博,20250602,292591,28670303,97.30,99.40,96.00,97.50,+0.20,324
2493,揚博,20250603,160027,15719788,98.50,99.40,97.40,97.60,+0.10,181
2493,揚博,20250604,348675,34478876,98.20,99.30,98.20,99.00,+1.40,330
2493,揚博,20250605,777310,78655773,99.70,103.00,99.20,100.50,+1.50,740
2493,揚博,20250606,439357,44751431,102.00,103.00,101.00,101.50,+1.00,432
2493,揚博,20250609,921245,95783016,104.00,106.50,101.50,102.00,+0.50,951
2493,揚博,20250610,369165,38339552,103.50,105.00,103.00,103.50,+1.50,424
2493,揚博,20250611,530896,53647842,104.50,104.50,100.00,100.00,-3.50,628
2493,揚博,20250612,195632,19538000,100.50,101.00,99.20,100.50,+0.50,259
2493,揚博,20250613,261638,25966605,99.50,100.00,98.80,99.40,-1.10,302
2493,揚博,20250616,178470,17459377,98.40,98.40,97.40,97.70,-1.70,258
2493,揚博,20250617,132126,12971977,97.80,98.70,97.70,98.00,+0.30,146
2493,揚博,20250618,128572,12625555,98.00,98.70,97.60,98.30,+0.30,147
2493,揚博,20250619,247132,23953992,97.80,98.60,96.10,96.20,-2.10,398
2493,揚博,20250620,203288,19399341,97.20,97.20,94.80,95.40,-0.80,223
