股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2495,普安,20250602,763667,17606738,23.50,23.50,22.90,23.00,-0.65,602
2495,普安,20250603,899037,20655237,23.00,23.15,22.85,22.85,-0.15,509
2495,普安,20250604,910094,21260698,23.10,23.50,23.10,23.45,+0.60,517
2495,普安,20250605,936969,21837939,23.55,23.60,23.05,23.05,-0.40,567
2495,普安,20250606,591130,13770618,23.25,23.50,23.15,23.30,+0.25,365
2495,普安,20250609,759389,17459188,23.25,23.30,22.80,23.05,-0.25,455
2495,普安,20250610,763757,17900174,23.20,23.55,23.15,23.45,+0.40,467
2495,普安,20250611,2016952,45781686,23.10,23.15,22.45,22.75,-0.70,"1,269"
2495,普安,20250612,950649,21794226,22.75,23.25,22.45,23.05,+0.30,603
2495,普安,20250613,1102412,24942996,22.90,22.95,22.35,22.35,-0.70,747
2495,普安,20250616,1034128,22898545,22.20,22.55,21.90,22.50,+0.15,647
2495,普安,20250617,513284,11577668,22.70,22.85,22.35,22.50, 0.00,401
2495,普安,20250618,493933,11265688,22.70,23.00,22.60,22.75,+0.25,367
2495,普安,20250619,869380,19332826,22.75,22.75,22.05,22.20,-0.55,607
2495,普安,20250620,3284097,72604795,22.20,22.35,21.65,22.15,-0.05,694
