股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2506,太設,20250602,140791,1469831,10.55,10.60,10.35,10.40,-0.20,119
2506,太設,20250603,215991,2229402,10.40,10.45,10.20,10.20,-0.20,161
2506,太設,20250604,123130,1274896,10.30,10.40,10.30,10.35,+0.15,108
2506,太設,20250605,45872,474844,10.35,10.40,10.35,10.35, 0.00,60
2506,太設,20250606,615900,6427402,10.35,10.60,10.35,10.40,+0.05,115
2506,太設,20250609,1220814,12919109,10.40,10.70,10.35,10.50,+0.10,243
2506,太設,20250610,313120,3323232,10.65,10.75,10.50,10.60,+0.10,162
2506,太設,20250611,746841,7933579,10.60,10.70,10.45,10.60, 0.00,144
2506,太設,20250612,182284,1908216,10.55,10.55,10.40,10.50,-0.10,118
2506,太設,20250613,110547,1147096,10.40,10.50,10.30,10.40,-0.10,98
2506,太設,20250616,634119,6634560,10.35,10.50,10.30,10.45,+0.05,125
2506,太設,20250617,106256,1108376,10.40,10.50,10.35,10.50,+0.05,109
2506,太設,20250618,322998,3369253,10.60,10.60,10.35,10.40,-0.10,188
2506,太設,20250619,425915,4261650,10.00,10.10,9.97,9.97,X0.00,203
2506,太設,20250620,253770,2520034,10.00,10.00,9.80,10.00,+0.03,153
