股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2520,冠德,20250602,7836286,436302259,55.30,56.60,54.90,55.70,+0.20,"5,536"
2520,冠德,20250603,7241094,399822853,55.80,56.20,54.30,55.30,-0.40,"5,205"
2520,冠德,20250604,6693476,367493356,55.00,55.30,54.50,54.70,-0.60,"4,509"
2520,冠德,20250605,6708408,363127665,54.70,55.60,53.20,53.90,-0.80,"4,487"
2520,冠德,20250606,5544877,297041438,53.90,54.40,53.00,53.40,-0.50,"3,696"
2520,冠德,20250609,6699853,352377066,53.80,53.80,52.10,52.70,-0.70,"4,442"
2520,冠德,20250610,6711510,351822701,52.80,53.30,51.90,51.90,-0.80,"4,895"
2520,冠德,20250611,8174067,421408297,52.00,52.10,51.10,51.50,-0.40,"4,604"
2520,冠德,20250612,6115410,315148629,51.50,52.10,51.00,52.00,+0.50,"3,955"
2520,冠德,20250613,3170665,161851724,51.60,51.70,50.50,50.50,-1.50,"2,706"
2520,冠德,20250616,3676030,181404957,50.00,50.00,49.10,49.40,-1.10,"2,867"
2520,冠德,20250617,2184192,108059750,49.50,49.90,49.20,49.50,+0.10,"1,663"
2520,冠德,20250618,1854479,93102017,49.90,50.60,49.80,50.30,+0.80,"1,382"
2520,冠德,20250619,1213365,60910577,50.60,50.60,50.00,50.00,-0.30,"1,116"
2520,冠德,20250620,2800554,139069465,50.20,50.30,49.20,49.90,-0.10,"1,441"
