股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2530,華建,20250602,720591,23238203,32.25,32.90,32.00,32.10,-0.15,291
2530,華建,20250603,1075238,34136989,32.10,32.55,31.20,31.40,-0.70,448
2530,華建,20250604,1015205,32031806,31.50,32.15,31.35,31.45,+0.05,624
2530,華建,20250605,587694,18448060,31.45,31.70,31.10,31.40,-0.05,315
2530,華建,20250606,357822,11307779,31.20,31.85,31.20,31.80,+0.40,216
2530,華建,20250609,816282,26354087,32.20,32.60,32.00,32.10,+0.30,328
2530,華建,20250610,977022,32067122,32.20,33.00,32.20,32.95,+0.85,426
2530,華建,20250611,1548703,51716391,34.00,34.00,32.75,33.60,+0.65,639
2530,華建,20250612,1646969,56923745,33.75,35.30,33.55,34.50,+0.90,790
2530,華建,20250613,1029470,35238923,34.50,34.80,33.50,33.60,-0.90,581
2530,華建,20250616,806810,26349066,33.15,33.35,32.30,32.30,-1.30,438
2530,華建,20250617,580906,18877097,32.55,32.80,32.00,32.45,+0.15,243
2530,華建,20250618,676786,21856081,32.25,32.75,32.00,32.30,-0.15,370
2530,華建,20250619,1266872,40202203,31.95,32.40,31.35,31.40,-0.90,643
2530,華建,20250620,1635544,49776974,31.40,31.40,29.60,30.70,-0.70,975
