股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2609,陽明,20250602,62938427,5021372747,79.90,80.80,79.10,79.10,-0.50,"33,118"
2609,陽明,20250603,70166290,5562833995,79.60,80.00,78.10,80.00,+0.90,"30,848"
2609,陽明,20250604,60182818,4769190001,79.90,80.10,78.50,78.50,-1.50,"31,757"
2609,陽明,20250605,105021115,7957325709,78.60,79.10,74.30,74.30,-4.20,"62,895"
2609,陽明,20250606,62570540,4640074582,74.20,75.30,73.30,73.50,-0.80,"33,921"
2609,陽明,20250609,83835455,6025435854,73.10,73.50,71.00,71.40,-2.10,"45,145"
2609,陽明,20250610,46359299,3353959802,71.60,72.80,71.50,72.20,+0.80,"23,461"
2609,陽明,20250611,60101889,4364426003,72.40,73.20,71.70,72.30,+0.10,"26,864"
2609,陽明,20250612,42190336,3046767926,72.30,72.70,72.00,72.00,-0.30,"20,191"
2609,陽明,20250613,59962839,4424956578,72.00,74.70,71.90,74.10,+2.10,"32,064"
2609,陽明,20250616,29171316,2146842247,73.90,74.30,73.20,73.60,-0.50,"17,027"
2609,陽明,20250617,64417274,4801516147,73.40,76.20,72.30,76.20,+2.60,"33,773"
2609,陽明,20250618,38345317,2904442327,75.60,76.50,75.20,75.20,-1.00,"23,060"
2609,陽明,20250619,26736779,2000945602,75.70,76.10,74.00,74.10,-1.10,"16,003"
2609,陽明,20250620,47591913,3488564651,74.10,74.80,72.90,73.00,-1.10,"16,825"
