股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2701,萬企,20250602,172674,2018831,11.80,11.80,11.60,11.65,-0.25,75
2701,萬企,20250603,207319,2395460,11.65,11.65,11.45,11.50,-0.15,115
2701,萬企,20250604,33854,392773,11.55,11.65,11.55,11.60,+0.10,35
2701,萬企,20250605,47019,547011,11.70,11.70,11.60,11.60, 0.00,42
2701,萬企,20250606,19729,229331,11.65,11.70,11.60,11.60, 0.00,24
2701,萬企,20250609,36982,428967,11.60,11.60,11.60,11.60, 0.00,30
2701,萬企,20250610,47154,549036,11.65,11.70,11.60,11.65,+0.05,46
2701,萬企,20250611,25027,290962,11.65,11.65,11.60,11.65, 0.00,17
2701,萬企,20250612,76772,889762,11.60,11.65,11.55,11.65, 0.00,42
2701,萬企,20250613,65268,752794,11.50,11.55,11.50,11.55,-0.10,45
2701,萬企,20250616,27539,320164,11.60,11.65,11.55,11.65,+0.10,31
2701,萬企,20250617,49131,565537,11.55,11.60,11.40,11.60,-0.05,39
2701,萬企,20250618,166435,1922388,11.55,11.60,11.55,11.55,-0.05,39
2701,萬企,20250619,198754,2262322,11.50,11.50,11.35,11.35,-0.20,100
2701,萬企,20250620,166155,1870881,11.35,11.35,11.20,11.25,-0.10,89
