股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2702,華園,20250602,35447,467381,13.20,13.25,13.10,13.15,-0.25,75
2702,華園,20250603,18635,243307,13.00,13.10,13.00,13.00,-0.15,77
2702,華園,20250604,16604,220528,13.20,13.50,13.15,13.15,+0.15,33
2702,華園,20250605,39657,523389,13.25,13.45,13.15,13.15, 0.00,33
2702,華園,20250606,11328,149273,13.00,13.20,13.00,13.20,+0.05,25
2702,華園,20250609,16256,214547,13.20,13.20,13.15,13.15,-0.05,37
2702,華園,20250610,26535,351963,13.35,13.35,13.15,13.30,+0.15,53
2702,華園,20250611,146787,1912089,13.15,13.30,12.85,13.00,-0.30,153
2702,華園,20250612,21094,273924,12.95,13.05,12.95,12.95,-0.05,48
2702,華園,20250613,55076,703852,12.90,13.00,12.70,12.70,-0.25,74
2702,華園,20250616,22024,279706,12.70,12.85,12.50,12.75,+0.05,37
2702,華園,20250617,24114,307097,12.75,12.90,12.65,12.70,-0.05,45
2702,華園,20250618,35657,454797,12.70,12.90,12.65,12.70, 0.00,61
2702,華園,20250619,44493,559160,12.65,12.65,12.45,12.45,-0.25,110
2702,華園,20250620,38504,473201,12.35,12.40,12.20,12.25,-0.20,78
