股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2732,六角,20250602,33000,2969000,87.00,89.60,87.00,88.60,0.00,39
2732,六角,20250603,45000,4019000,88.60,90.00,88.60,89.50,0.90,87
2732,六角,20250604,59000,5269000,90.00,90.00,88.60,88.70,-0.80,58
2732,六角,20250605,17000,1533000,88.80,89.20,88.50,89.10,0.40,24
2732,六角,20250606,48000,4242000,89.10,89.30,88.70,88.80,-0.30,37
2732,六角,20250609,20000,1754000,88.80,88.80,88.10,88.60,-0.20,46
2732,六角,20250610,63000,5651000,89.00,90.00,88.50,89.90,1.30,93
2732,六角,20250611,26000,2320000,88.50,88.80,88.40,88.50,-1.40,119
2732,六角,20250612,33000,2917000,88.50,88.50,87.20,87.70,-0.80,114
2732,六角,20250613,12000,1042000,87.50,87.50,87.30,87.30,-0.40,37
2732,六角,20250616,16000,1403000,86.60,86.70,86.30,86.40,-0.90,20
2732,六角,20250617,23000,1971000,86.30,86.40,86.00,86.00,-0.40,57
2732,六角,20250618,8000,669000,86.80,86.80,86.50,86.60,0.60,32
2732,六角,20250619,9000,797000,87.80,87.80,85.20,86.50,-0.10,43
2732,六角,20250620,49000,4168000,85.90,85.90,83.00,84.00,-2.50,195
