股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2809,京城銀,20250602,2687998,134898899,50.00,51.00,49.40,51.00,+0.90,"1,652"
2809,京城銀,20250603,3683545,184770413,50.20,50.70,49.65,50.70,-0.30,"2,534"
2809,京城銀,20250604,24863937,1236517458,50.40,50.60,49.05,50.50,-0.20,"12,902"
2809,京城銀,20250605,22346007,1111012884,49.75,50.20,49.50,49.75,-0.75,"7,653"
2809,京城銀,20250606,22508150,1116286481,49.75,49.95,49.30,49.95,+0.20,"6,725"
2809,京城銀,20250609,23249288,1180730128,49.80,51.20,49.80,51.00,+1.05,"7,648"
2809,京城銀,20250610,22315398,1140115914,50.90,51.50,50.60,51.50,+0.50,"7,275"
2809,京城銀,20250611,26582603,1357469283,51.20,51.40,50.60,51.10,-0.40,"8,904"
2809,京城銀,20250612,20236008,1030590277,51.00,51.30,50.60,51.30,+0.20,"5,781"
2809,京城銀,20250613,3561108,183227359,50.90,51.80,50.90,51.50,+0.20,"1,558"
2809,京城銀,20250616,2573845,133240989,51.40,52.10,51.30,52.10,+0.60,"1,307"
2809,京城銀,20250617,1750476,91253541,52.00,52.40,51.90,52.10, 0.00,"1,189"
2809,京城銀,20250618,1474104,76529062,52.00,52.20,51.70,52.10, 0.00,969
2809,京城銀,20250619,1875614,97030473,51.90,52.00,51.60,51.90,-0.20,"1,449"
2809,京城銀,20250620,18710361,972934347,52.20,52.70,51.60,51.60,-0.30,"3,823"
