股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2812,台中銀,20250602,3674596,75264496,20.40,20.65,20.40,20.50,-0.05,"2,396"
2812,台中銀,20250603,4017082,83104597,20.60,20.80,20.50,20.80,+0.30,"1,732"
2812,台中銀,20250604,10241122,213403435,20.85,21.05,20.70,20.70,-0.10,"3,402"
2812,台中銀,20250605,3857816,80191021,20.75,20.90,20.70,20.75,+0.05,"1,772"
2812,台中銀,20250606,5596029,117342573,20.80,21.05,20.80,20.90,+0.15,"2,241"
2812,台中銀,20250609,6426835,135498340,21.00,21.15,20.95,21.05,+0.15,"2,842"
2812,台中銀,20250610,6366751,134099153,21.00,21.15,20.90,21.05, 0.00,"2,812"
2812,台中銀,20250611,4367584,91864274,21.00,21.10,20.95,21.00,-0.05,"2,128"
2812,台中銀,20250612,4684050,98432921,20.95,21.10,20.90,21.10,+0.10,"2,151"
2812,台中銀,20250613,4356199,91267720,20.90,21.05,20.85,20.90,-0.20,"2,328"
2812,台中銀,20250616,4728985,99419050,20.90,21.10,20.90,21.10,+0.20,"2,297"
2812,台中銀,20250617,9114194,193931466,21.10,21.40,21.10,21.40,+0.30,"2,867"
2812,台中銀,20250618,7137552,152926716,21.40,21.50,21.35,21.40, 0.00,"2,934"
2812,台中銀,20250619,5011280,107067144,21.30,21.50,21.10,21.30,-0.10,"2,190"
2812,台中銀,20250620,15588005,329521883,21.30,21.45,21.05,21.10,-0.20,"3,393"
