股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2832,台產,20250602,564178,19243702,34.55,34.55,33.85,34.25,-0.30,499
2832,台產,20250603,367050,12524290,34.25,34.35,34.00,34.10,-0.15,360
2832,台產,20250604,383218,13160312,34.15,34.45,34.15,34.35,+0.25,280
2832,台產,20250605,507538,17387943,34.50,34.65,33.95,34.10,-0.25,368
2832,台產,20250606,393945,13426916,34.10,34.35,33.80,34.15,+0.05,297
2832,台產,20250609,427064,14612443,34.05,34.35,34.05,34.15, 0.00,283
2832,台產,20250610,795427,27319102,34.20,34.55,34.20,34.30,+0.15,342
2832,台產,20250611,2167687,73432242,34.30,34.30,33.45,34.00,-0.30,"1,106"
2832,台產,20250612,1072094,36436775,34.00,34.15,33.75,34.00, 0.00,425
2832,台產,20250613,1787393,60540394,33.90,34.00,33.75,33.85,-0.15,975
2832,台產,20250616,1923681,61384281,31.80,32.25,31.65,32.05,X0.00,606
2832,台產,20250617,723397,23109121,32.30,32.30,31.75,31.90,-0.15,535
2832,台產,20250618,625887,20063054,31.80,32.40,31.70,32.20,+0.30,427
2832,台產,20250619,236972,7602232,32.30,32.40,31.90,31.90,-0.30,232
2832,台產,20250620,334885,10672888,31.95,32.05,31.75,31.95,+0.05,177
