股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2838,聯邦銀,20250602,2253637,38142004,16.95,17.00,16.85,16.90,-0.30,894
2838,聯邦銀,20250603,746940,12669427,17.05,17.10,16.90,16.90, 0.00,510
2838,聯邦銀,20250604,1116169,19072170,16.90,17.15,16.90,17.00,+0.10,469
2838,聯邦銀,20250605,1218602,20751793,17.05,17.15,16.90,17.00, 0.00,608
2838,聯邦銀,20250606,1775987,30455023,17.05,17.25,16.90,17.20,+0.20,592
2838,聯邦銀,20250609,1260943,21574601,17.25,17.25,17.05,17.05,-0.15,762
2838,聯邦銀,20250610,1514125,26001095,17.05,17.25,17.05,17.10,+0.05,658
2838,聯邦銀,20250611,970594,16580602,17.05,17.20,17.05,17.05,-0.05,523
2838,聯邦銀,20250612,733717,12539451,17.05,17.15,17.05,17.10,+0.05,426
2838,聯邦銀,20250613,1253549,21318005,16.95,17.10,16.95,17.00,-0.10,660
2838,聯邦銀,20250616,1119869,19197532,17.00,17.25,17.00,17.25,+0.25,525
2838,聯邦銀,20250617,986037,17037891,17.20,17.35,17.20,17.30,+0.05,486
2838,聯邦銀,20250618,4300328,75032721,17.30,17.50,17.30,17.50,+0.20,"1,700"
2838,聯邦銀,20250619,1519855,26447650,17.40,17.60,17.25,17.25,-0.25,787
2838,聯邦銀,20250620,1601641,27657840,17.30,17.45,17.15,17.30,+0.05,657
