股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2867,三商壽,20250602,4479395,23190255,5.22,5.22,5.16,5.19,-0.07,"1,026"
2867,三商壽,20250603,7483833,38588551,5.18,5.19,5.12,5.14,-0.05,"1,581"
2867,三商壽,20250604,8511174,44823822,5.18,5.34,5.14,5.28,+0.14,"2,037"
2867,三商壽,20250605,3470046,18177906,5.28,5.28,5.22,5.23,-0.05,"1,053"
2867,三商壽,20250606,2814544,14781505,5.20,5.28,5.20,5.26,+0.03,670
2867,三商壽,20250609,4356560,22737593,5.26,5.29,5.19,5.20,-0.06,870
2867,三商壽,20250610,6640186,34428506,5.20,5.24,5.15,5.15,-0.05,"1,539"
2867,三商壽,20250611,14587604,73664568,5.02,5.10,4.99,5.08,-0.07,"2,686"
2867,三商壽,20250612,5472701,27773994,5.05,5.14,5.03,5.09,+0.01,"1,183"
2867,三商壽,20250613,7070132,35700901,5.05,5.08,5.03,5.05,-0.04,"1,566"
2867,三商壽,20250616,2680325,13517501,5.05,5.06,5.02,5.04,-0.01,841
2867,三商壽,20250617,3246451,16403979,5.05,5.08,5.03,5.05,+0.01,718
2867,三商壽,20250618,3219249,16267493,5.08,5.08,5.03,5.05, 0.00,"1,073"
2867,三商壽,20250619,9133632,45783811,5.04,5.05,4.99,5.01,-0.04,"2,034"
2867,三商壽,20250620,22676058,111639071,5.04,5.04,4.91,4.91,-0.10,"1,890"
