股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2892,第一金,20250602,103880863,2763196145,26.90,27.00,26.35,26.70,-0.35,"22,487"
2892,第一金,20250603,97942976,2595779467,26.90,27.00,26.30,26.65,-0.05,"20,426"
2892,第一金,20250604,106249344,2823206905,26.70,26.95,26.35,26.80,+0.15,"21,765"
2892,第一金,20250605,78700685,2124826234,26.80,27.20,26.75,27.20,+0.40,"22,724"
2892,第一金,20250606,22112644,605814942,27.15,27.50,27.05,27.50,+0.30,"6,307"
2892,第一金,20250609,21818872,604345096,27.60,27.80,27.50,27.65,+0.15,"6,016"
2892,第一金,20250610,31753393,886469855,27.65,28.10,27.65,27.85,+0.20,"8,455"
2892,第一金,20250611,19713735,549580809,27.80,27.95,27.70,27.95,+0.10,"4,753"
2892,第一金,20250612,10783228,301205968,27.80,28.00,27.80,28.00,+0.05,"3,147"
2892,第一金,20250613,23811042,665375645,27.75,28.05,27.75,27.95,-0.05,"6,818"
2892,第一金,20250616,18651028,522122694,27.70,28.10,27.70,28.00,+0.05,"4,690"
2892,第一金,20250617,53632765,1515159897,28.00,28.35,27.95,28.35,+0.35,"10,649"
2892,第一金,20250618,63506052,1806358518,28.30,28.55,28.25,28.55,+0.20,"13,055"
2892,第一金,20250619,56546564,1616241986,28.35,28.70,28.30,28.60,+0.05,"9,534"
2892,第一金,20250620,61731673,1749641066,28.50,28.60,28.00,28.45,-0.15,"9,396"
