股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2901,欣欣,20250602,10194,262541,25.90,26.00,25.30,25.50,-0.55,43
2901,欣欣,20250603,10151,257293,25.50,25.60,25.10,25.15,-0.35,41
2901,欣欣,20250604,11508,291869,25.50,25.50,25.10,25.45,+0.30,33
2901,欣欣,20250605,23974,602354,25.30,25.50,24.65,25.30,-0.15,63
2901,欣欣,20250606,8480,214419,25.45,25.45,25.15,25.15,-0.15,43
2901,欣欣,20250609,3461,86866,25.15,25.15,25.00,25.15, 0.00,20
2901,欣欣,20250610,9742,244818,25.15,25.20,25.05,25.15, 0.00,23
2901,欣欣,20250611,19388,484585,25.15,25.15,24.90,24.95,-0.20,69
2901,欣欣,20250612,55736,1433810,25.75,26.35,25.10,25.75,+0.80,62
2901,欣欣,20250613,37615,973741,26.40,26.40,25.75,25.85,+0.10,59
2901,欣欣,20250616,25267,657065,26.00,26.15,25.90,26.00,+0.15,26
2901,欣欣,20250617,5906,153174,26.00,26.00,26.00,26.00, 0.00,61
2901,欣欣,20250618,14262,369199,26.10,26.20,25.60,25.95,-0.05,37
2901,欣欣,20250619,9095,230338,25.30,25.95,25.05,25.05,-0.90,63
2901,欣欣,20250620,10121,255354,24.90,25.70,24.90,25.35,+0.30,30
