股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2939,永邑-KY,20250602,2003,63591,31.75,31.75,31.75,31.75, 0.00,4
2939,永邑-KY,20250603,30014,941084,31.40,31.40,31.30,31.40,-0.35,22
2939,永邑-KY,20250604,39001,1222781,31.45,31.45,31.25,31.25,-0.15,12
2939,永邑-KY,20250605,52096,1619934,31.20,31.20,30.95,30.95,-0.30,18
2939,永邑-KY,20250606,39001,1203877,31.00,31.00,30.80,30.80,-0.15,17
2939,永邑-KY,20250609,6013,185030,30.80,30.80,30.75,30.75,-0.05,18
2939,永邑-KY,20250610,7000,216150,31.00,31.00,30.70,30.95,+0.20,7
2939,永邑-KY,20250611,90159,2780737,30.90,31.00,30.50,31.00,+0.05,49
2939,永邑-KY,20250612,44006,1343279,30.60,30.95,30.25,30.95,-0.05,28
2939,永邑-KY,20250613,7002,214510,30.35,30.95,30.30,30.95, 0.00,9
2939,永邑-KY,20250616,1000,30900,30.90,30.90,30.90,30.90,-0.05,1
2939,永邑-KY,20250617,12000,366000,30.45,30.60,30.25,30.60,-0.30,12
2939,永邑-KY,20250618,13000,391700,30.50,30.50,29.90,29.90,-0.70,13
2939,永邑-KY,20250619,12019,348753,29.00,29.45,28.85,29.00,-0.90,12
2939,永邑-KY,20250620,7002,202956,29.00,29.00,28.90,29.00, 0.00,7
