股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2949,欣新網,20250602,0,0,--,--,--,--,0.00,3
2949,欣新網,20250603,4000,335000,84.00,84.00,83.50,83.50,-1.00,5
2949,欣新網,20250604,11000,881000,83.50,83.50,82.60,82.60,-0.90,21
2949,欣新網,20250605,0,1000,--,--,--,--,0.00,2
2949,欣新網,20250606,0,9000,--,--,--,--,0.00,2
2949,欣新網,20250609,9000,819000,88.80,90.00,88.00,88.00,5.30,22
2949,欣新網,20250610,2000,159000,84.90,84.90,84.90,84.90,-3.10,8
2949,欣新網,20250611,4000,350000,85.50,85.50,84.90,84.90,0.00,7
2949,欣新網,20250612,2000,190000,85.00,85.10,85.00,85.10,0.20,12
2949,欣新網,20250613,17000,1475000,85.20,85.50,84.90,84.90,-0.20,13
2949,欣新網,20250616,3000,269000,84.90,85.40,84.90,85.40,0.50,9
2949,欣新網,20250617,0,11000,--,--,--,--,0.00,5
2949,欣新網,20250618,11000,960000,85.60,85.60,85.40,85.40,0.00,15
2949,欣新網,20250619,7000,627000,84.80,88.00,84.70,87.70,2.30,19
2949,欣新網,20250620,11000,975000,87.70,87.70,85.40,85.40,-2.30,17
