股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3015,全漢,20250602,1478295,88695349,61.20,61.40,59.10,59.90,-1.70,"1,246"
3015,全漢,20250603,1947960,120515203,60.70,62.80,60.00,61.50,+1.60,"1,557"
3015,全漢,20250604,978145,60512766,62.20,62.30,61.40,62.10,+0.60,900
3015,全漢,20250605,1936939,121271489,62.30,63.40,62.10,62.40,+0.30,"1,628"
3015,全漢,20250606,846200,52577565,62.40,62.70,61.70,62.20,-0.20,771
3015,全漢,20250609,2136075,132292479,62.60,62.90,61.00,61.00,-1.20,"1,796"
3015,全漢,20250610,2060842,127304499,61.50,62.50,61.20,62.10,+1.10,"1,369"
3015,全漢,20250611,4778360,291350316,60.20,61.70,60.00,61.50,X0.00,"3,633"
3015,全漢,20250612,1746247,106910789,61.80,61.90,60.70,60.70,-0.80,"1,553"
3015,全漢,20250613,1476667,87749911,60.80,60.80,58.60,58.70,-2.00,"1,196"
3015,全漢,20250616,553928,32177123,58.20,58.50,57.80,57.90,-0.80,613
3015,全漢,20250617,741193,42814384,58.50,58.50,57.40,57.50,-0.40,675
3015,全漢,20250618,400296,22996230,57.50,57.90,57.20,57.20,-0.30,392
3015,全漢,20250619,715661,40259682,57.10,57.20,55.90,56.00,-1.20,624
3015,全漢,20250620,475041,26347982,56.50,56.60,55.10,55.10,-0.90,506
