股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3017,奇鋐,20250602,7056783,4375053016,615.00,629.00,608.00,629.00,+9.00,"9,163"
3017,奇鋐,20250603,17581899,11555221300,642.00,668.00,640.00,659.00,+30.00,"21,337"
3017,奇鋐,20250604,16978253,11609313740,681.00,691.00,674.00,681.00,+22.00,"20,260"
3017,奇鋐,20250605,6306761,4255157384,676.00,681.00,668.00,676.00,-5.00,"8,526"
3017,奇鋐,20250606,9740274,6601281481,677.00,685.00,666.00,681.00,+5.00,"11,125"
3017,奇鋐,20250609,7697805,5234434134,689.00,693.00,679.00,682.00,+1.00,"7,840"
3017,奇鋐,20250610,9496386,6602364443,687.00,703.00,686.00,701.00,+19.00,"13,441"
3017,奇鋐,20250611,11657004,8342079689,704.00,724.00,702.00,724.00,+23.00,"15,964"
3017,奇鋐,20250612,19353013,14588574938,723.00,775.00,718.00,759.00,+35.00,"26,624"
3017,奇鋐,20250613,10336809,7826832746,750.00,768.00,745.00,763.00,+4.00,"13,561"
3017,奇鋐,20250616,8336561,6277212744,749.00,765.00,746.00,750.00,-13.00,"11,730"
3017,奇鋐,20250617,10232736,7768402085,760.00,771.00,750.00,757.00,+7.00,"11,389"
3017,奇鋐,20250618,12308298,9111817847,760.00,766.00,722.00,730.00,-27.00,"29,877"
3017,奇鋐,20250619,7915074,5857442583,735.00,745.00,733.00,741.00,+11.00,"9,890"
3017,奇鋐,20250620,9294094,6747945198,740.00,740.00,713.00,734.00,-7.00,"14,121"
